year,type,cnt
2014,Credit,92320182
2014,Cash,66140662
2014,Unknown,776770
2014,No Charge,418546
2014,Dispute,125627
2015,Credit,88593395
2015,Cash,52281054
2015,No Charge,469850
2015,Dispute,160394
2015,Unknown,23
